tweet_id,tweet_text,user_name,created_at,is_real_news,label,text,title
1627241424361226242,,,,,REAL,"RT @DonaldJTrumpJr: Breaking News: Trump will visit East Palestine, Ohio next week. 
If our “leaders” are too afraid to actually lead real…",RT @DonaldJTrumpJr
1627241387409424385,,,,,unknown,"RT @SeptemberClare: @NicholeOverall @KristyMcBain @AlboMP @ClareONeilMP 

It's time to add 'Z' to the list of recognised hate symbols pleas…",RT @SeptemberClare
1627241284116299779,,,,,REAL,"RT @BOXINGnBBQ: Breaking news! For real this time!

We have ourselves a big fight. No more, “the big fights don’t get made.”

Big thanks to…",RT @BOXINGnBBQ
1627241265136795648,,,,,unknown,Rumour Has It: Man Utd to ward off PSG and Real Madrid interest with £120m Rashford price tag https://t.co/9n3GTNT5CX£120m-Rashford-price-tag?utm_medium=rss&amp;utm_source=rss,Rumour Has It
1627241248573607936,,,,,unknown,RT @cylyl10: Cnet_melons' wild desperation &amp; imagined reality abt wang yibo continue to disgust ppl who actually read news. It just mislead…,RT @cylyl10
1627241246837309441,,,,,unknown,"RT @PeepingMoon: #Shershaah #VikramBatra's twin brother #VishalBatra shares his happiness at #SidharthMalhotra and #KiaraAdvani's wedding,…",RT @PeepingMoon
1627241229598720000,,,,,unknown,"@LauraLHobbs1 @R_A_McClure @CommonSensaye @ProudElephantUS @JoeBiden Watch much Fox News, do ya?  Over in the real world you should keep an eye on the Dominion trial.","@LauraLHobbs1 @R_A_McClure @CommonSensaye @ProudElephantUS @JoeBiden Watch much Fox News, do ya?  Over in the real world you should keep an eye on the Dominion trial."
1627241178390482945,,,,,unknown,RT @cylyl10: Cnet_melons' wild desperation &amp; imagined reality abt wang yibo continue to disgust ppl who actually read news. It just mislead…,RT @cylyl10
1627241142369808384,,,,,unknown,"@jimmysong @gladstein @lopp @BitcoinMagazine @lightning @JeremyRubin @MuunWallet @VIZIO @FrancisSuarez @TomerStrolight Is Empathy real?  
https://t.co/l1HccEVMGb","@jimmysong @gladstein @lopp @BitcoinMagazine @lightning @JeremyRubin @MuunWallet @VIZIO @FrancisSuarez @TomerStrolight Is Empathy real?  
https"
1627241109930876929,,,,,unknown,"You got to love unionists

Meal Deals may, perhaps, could possibly, maybe, be banned in Wales. To prove they post a link that meal deals MAY be banned in Wales.

If you real the article you will find, roll of drums please, they have been banned in ENGLAND.
https://t.co/ba45dy3jXT","You got to love unionists

Meal Deals may, perhaps, could possibly, maybe, be banned in Wales. To prove they post a link that meal deals MAY be banned in Wales.

If you real the article you will find, roll of drums please, they have been banned in ENGLAND.
https"
1627241025499701248,,,,,unknown,"RT @RSPraveenSwaero: Rajya Sabha member Santosh announces adoption of 1,000 acres forest lands in Kondagattu only to take up real estate, a…",RT @RSPraveenSwaero
1627241013600301056,,,,,unknown,"RT @maxseddon: “My whole life was writing about Stalin, and I would get absorbed in that. But then I put that down, and I had kids to hug,…",RT @maxseddon
1627240928246403072,,,,,REAL,"RT @DonaldJTrumpJr: Breaking News: Trump will visit East Palestine, Ohio next week. 
If our “leaders” are too afraid to actually lead real…",RT @DonaldJTrumpJr
1627240892322177028,,,,,unknown,"Exclusive | VIDEO: ""He has to beef up his capital to reduce debt. I wish him good luck"": Indian real estate doyen KP Singh on Adani. https://t.co/qg8Y018qMQ",Exclusive | VIDEO
